timestamp,grid_activepower,wind_speed,Theoretical_Power_Curve
01 01 2025 00:00,49.9,4.52,16.5
01 01 2025 00:10,1.13,5.81,104.98
01 01 2025 00:30,30.67,2.72,0.0
01 01 2025 00:40,889.78,8.92,982.55
01 01 2025 00:50,1682.45,10.55,2038.83
01 01 2025 01:00,2040.07,10.6,2081.01
01 01 2025 01:10,1377.8,9.6,1360.63
01 01 2025 01:30,182.48,7.13,333.03
01 01 2025 01:40,3305.14,16.36,3450.0
01 01 2025 02:00,2886.41,12.57,3450.0
01 01 2025 02:10,396.22,7.43,410.79
01 01 2025 02:20,49.05,5.04,40.38
01 01 2025 02:30,609.55,8.3,704.57
01 01 2025 02:40,42.24,1.61,0.0
01 01 2025 02:50,1737.73,10.32,1855.12
01 01 2025 03:00,353.51,7.35,388.43
01 01 2025 03:10,23.28,3.51,0.64
01 01 2025 03:30,905.86,9.0,1023.8
01 01 2025 03:50,36.11,2.42,0.0
01 01 2025 04:00,3529.55,17.51,3450.0
01 01 2025 04:10,75.34,4.03,5.1
01 01 2025 04:20,2495.96,13.92,3450.0
01 01 2025 04:30,967.76,9.42,1250.13
01 01 2025 04:40,8.77,5.4,65.26
01 01 2025 04:50,2796.2,13.29,3450.0
01 01 2025 05:00,146.48,2.47,0.0
01 01 2025 05:10,260.49,6.75,249.14
01 01 2025 05:20,67.31,6.53,207.89
01 01 2025 05:40,2007.46,10.67,2134.86
01 01 2025 05:50,652.02,8.61,834.97
01 01 2025 06:00,42.72,1.2,0.0
01 01 2025 06:10,951.29,8.99,1015.07
01 01 2025 06:20,527.87,8.22,672.08
01 01 2025 06:30,57.1,5.62,84.71
01 01 2025 06:40,66.95,5.54,77.97
01 01 2025 06:50,970.83,9.16,1108.25
01 01 2025 07:10,499.85,8.0,589.97
01 01 2025 07:20,582.86,8.01,594.89
01 01 2025 07:30,942.64,9.21,1134.83
01 01 2025 07:40,1809.93,10.35,1882.33
01 01 2025 07:50,176.7,5.57,80.79
01 01 2025 08:10,88.75,6.86,272.96
01 01 2025 08:20,279.45,7.61,463.25
01 01 2025 08:30,1683.73,10.1,1695.51
01 01 2025 08:50,21.41,2.69,0.0
01 01 2025 09:00,82.67,8.2,666.99
01 01 2025 09:10,209.98,5.29,56.62
01 01 2025 09:30,1738.56,10.59,2065.88
01 01 2025 09:50,12.14,4.73,24.52
01 01 2025 10:00,21.48,4.1,6.31
01 01 2025 10:10,3102.68,13.32,3450.0
01 01 2025 10:20,93.29,1.97,0.0
01 01 2025 10:30,489.44,8.13,640.7
01 01 2025 10:40,68.28,6.24,160.76
01 01 2025 10:50,198.96,7.93,567.79
01 01 2025 11:00,693.32,8.47,774.41
01 01 2025 11:10,353.87,7.26,366.24
01 01 2025 11:20,551.89,8.21,669.89
01 01 2025 11:30,89.22,4.94,34.61
01 01 2025 11:40,9.37,2.92,0.0
01 01 2025 11:50,30.39,4.2,8.11
01 01 2025 12:00,383.33,7.91,558.56
01 01 2025 12:10,-5.0,1.74,0.0
01 01 2025 12:20,85.37,5.87,112.34
01 01 2025 12:30,292.28,7.09,323.54
01 01 2025 12:40,1332.87,9.79,1481.74
01 01 2025 12:50,1528.72,10.14,1719.55
01 01 2025 13:00,2079.11,10.63,2103.35
01 01 2025 13:10,81.79,5.03,39.57
01 01 2025 13:20,-5.0,4.24,9.01
01 01 2025 13:30,211.99,5.9,115.6
01 01 2025 13:40,1165.3,9.69,1418.57
01 01 2025 13:50,3204.0,11.64,3052.55
01 01 2025 14:00,349.24,7.26,365.81
01 01 2025 14:10,2992.86,13.41,3450.0
01 01 2025 14:20,-2.4,1.0,0.0
01 01 2025 14:40,3017.2,11.67,3082.64
01 01 2025 15:00,45.94,3.29,0.11
01 01 2025 15:10,149.44,6.63,226.59
01 01 2025 15:20,3480.74,24.42,3450.0
01 01 2025 15:40,-5.0,1.3,0.0
01 01 2025 15:50,1222.37,12.44,3450.0
01 01 2025 16:00,879.17,9.04,1043.27
01 01 2025 16:10,489.45,8.21,667.47
01 01 2025 16:20,-5.0,4.49,15.52
01 01 2025 16:30,796.99,8.83,937.16
01 01 2025 16:40,-5.0,4.27,9.77
01 01 2025 16:50,2264.37,11.09,2502.41
01 01 2025 17:00,39.69,3.2,0.04
01 01 2025 17:10,101.04,6.28,166.8
01 01 2025 17:20,244.09,6.37,180.55
01 01 2025 17:30,163.16,6.42,189.22
01 01 2025 17:50,-5.0,1.25,0.0
01 01 2025 18:10,3006.13,17.69,3450.0
01 01 2025 18:20,3066.89,12.98,3450.0
01 01 2025 18:30,1415.66,10.02,1638.3
01 01 2025 18:40,53.39,4.26,9.39
01 01 2025 18:50,130.0,6.49,201.23
01 01 2025 19:00,216.38,6.24,160.57
01 01 2025 19:10,358.97,7.42,409.88
01 01 2025 19:20,111.95,3.97,4.32
01 01 2025 19:40,7.42,5.7,92.81
01 01 2025 19:50,-4.85,2.64,0.0
01 01 2025 20:00,3127.01,16.09,3450.0
01 01 2025 20:10,28.36,4.01,4.89
01 01 2025 20:20,42.43,5.27,55.58
01 01 2025 20:30,154.81,6.22,157.92
01 01 2025 20:40,16.3,4.02,5.06
01 01 2025 20:50,287.2,12.52,3450.0
01 01 2025 21:00,3136.29,14.23,3450.0
01 01 2025 21:10,2505.36,12.82,3450.0
01 01 2025 21:20,1511.93,9.83,1508.34
01 01 2025 21:30,1206.17,9.69,1420.04
01 01 2025 21:40,431.77,7.81,527.2
01 01 2025 21:50,-5.0,1.24,0.0
01 01 2025 22:20,380.16,7.17,344.31
01 01 2025 22:30,118.63,3.87,3.13
01 01 2025 22:40,96.46,0.9,0.0
01 01 2025 22:50,92.06,5.94,120.83
01 01 2025 23:00,-5.0,0.9,0.0
01 01 2025 23:20,-5.0,4.78,26.59
01 01 2025 23:30,-5.0,0.89,0.0
01 01 2025 23:50,1233.76,9.16,1104.12
02 01 2025 00:00,-5.0,4.28,9.91
02 01 2025 00:10,176.23,13.45,3450.0
02 01 2025 00:20,-5.0,4.23,8.75
02 01 2025 00:30,3431.79,13.51,3450.0
02 01 2025 00:40,586.32,8.47,776.56
02 01 2025 00:50,141.14,6.8,260.68
02 01 2025 01:00,85.8,6.25,162.83
02 01 2025 01:10,-5.0,4.91,32.73
02 01 2025 01:20,983.34,9.2,1129.25
02 01 2025 01:30,67.65,5.57,80.75
02 01 2025 01:50,127.75,5.07,42.1
02 01 2025 02:10,-5.0,2.42,0.0
02 01 2025 02:20,209.53,7.04,311.23
02 01 2025 02:30,325.6,6.98,299.0
02 01 2025 02:40,1622.86,10.32,1857.27
02 01 2025 02:50,516.65,8.35,725.56
02 01 2025 03:00,2654.39,12.6,3450.0
02 01 2025 03:10,267.25,7.24,360.23
02 01 2025 03:20,2974.19,12.64,3450.0
02 01 2025 03:30,33.48,5.21,50.74
02 01 2025 03:40,12.61,4.04,5.35
02 01 2025 03:50,25.04,5.4,65.51
02 01 2025 04:00,1183.73,9.92,1569.26
02 01 2025 04:10,2307.79,11.13,2541.1
02 01 2025 04:30,991.81,9.22,1138.15
02 01 2025 04:40,725.69,8.34,722.21
02 01 2025 04:50,2840.7,15.93,3450.0
02 01 2025 05:00,3041.25,15.68,3450.0
02 01 2025 05:10,49.42,2.4,0.0
02 01 2025 05:20,434.85,7.41,406.67
02 01 2025 05:30,17.59,5.27,55.23
02 01 2025 05:40,2127.62,10.69,2155.71
02 01 2025 05:50,2858.34,13.89,3450.0
02 01 2025 06:00,1597.91,10.48,1979.51
02 01 2025 06:10,944.91,9.52,1310.99
02 01 2025 06:20,1954.11,10.41,1926.19
02 01 2025 06:30,-5.0,1.02,0.0
02 01 2025 06:40,3039.22,18.67,3450.0
02 01 2025 06:50,573.29,7.79,519.98
02 01 2025 07:00,473.45,7.6,461.51
02 01 2025 07:10,204.78,5.73,96.39
02 01 2025 07:20,1021.76,9.41,1248.86
02 01 2025 07:30,452.5,7.57,453.09
02 01 2025 07:40,81.91,7.68,484.45
02 01 2025 08:00,-5.0,4.13,6.75
02 01 2025 08:10,165.74,6.95,290.56
02 01 2025 08:20,5.42,2.92,0.0
02 01 2025 08:30,222.18,6.66,231.23
02 01 2025 08:40,-5.0,4.57,18.32
02 01 2025 09:00,2967.07,12.77,3450.0
02 01 2025 09:10,1363.96,9.85,1518.86
02 01 2025 09:20,8.48,4.36,11.88
02 01 2025 09:30,-5.0,4.59,19.03
02 01 2025 09:40,8.44,3.39,0.27
02 01 2025 09:50,1795.38,10.39,1910.81
02 01 2025 10:00,2568.48,11.75,3168.81
02 01 2025 10:10,-5.0,5.22,51.63
02 01 2025 10:20,949.16,9.1,1076.35
02 01 2025 10:30,4.97,3.29,0.11
02 01 2025 10:40,-5.0,3.48,0.51
02 01 2025 10:50,125.64,4.77,26.04
02 01 2025 11:00,-5.0,4.09,6.21
02 01 2025 11:10,2254.98,10.86,2293.71
02 01 2025 11:20,-5.0,2.12,0.0
02 01 2025 11:30,956.11,11.58,2993.72
02 01 2025 11:40,-5.0,4.48,15.32
02 01 2025 11:50,48.18,5.44,68.77
02 01 2025 12:00,35.55,3.75,1.97
02 01 2025 12:10,-5.0,2.41,0.0
02 01 2025 12:20,2651.39,11.63,3043.64
02 01 2025 12:40,69.18,5.66,89.47
02 01 2025 12:50,147.16,6.66,232.31
02 01 2025 13:00,116.13,5.33,60.15
02 01 2025 13:20,98.9,5.52,75.3
02 01 2025 13:30,84.55,5.15,47.09
02 01 2025 13:40,269.4,7.16,341.79
02 01 2025 14:00,32.83,6.23,159.51
02 01 2025 14:10,93.2,5.66,89.2
02 01 2025 14:20,60.7,2.68,0.0
02 01 2025 14:30,-5.0,4.66,21.53
02 01 2025 14:40,2867.98,11.94,3384.63
02 01 2025 14:50,1221.67,9.42,1253.76
02 01 2025 15:00,-5.0,3.54,0.73
02 01 2025 15:10,166.08,7.03,310.17
02 01 2025 15:20,2904.94,12.51,3450.0
02 01 2025 15:30,456.34,8.0,592.57
02 01 2025 15:40,2995.46,11.75,3173.29
02 01 2025 15:50,2757.49,11.8,3222.02
02 01 2025 16:00,-5.0,3.13,0.01
02 01 2025 16:10,977.38,9.1,1072.86
02 01 2025 16:20,137.64,6.49,201.02
02 01 2025 16:30,51.2,4.62,20.02
02 01 2025 16:40,-5.0,4.87,30.81
02 01 2025 16:50,937.78,8.93,984.61
02 01 2025 17:00,2783.51,20.72,3450.0
02 01 2025 17:10,190.19,5.8,103.65
02 01 2025 17:20,1614.17,10.06,1664.45
02 01 2025 17:30,481.63,7.67,482.72
02 01 2025 17:40,135.98,5.83,107.61
02 01 2025 18:00,-5.0,3.66,1.37
02 01 2025 18:10,2930.63,16.84,3450.0
02 01 2025 18:20,188.46,6.43,191.73
02 01 2025 18:40,-5.0,2.29,0.0
02 01 2025 18:50,122.93,5.92,117.62
02 01 2025 19:00,3002.82,14.01,3450.0
02 01 2025 19:10,450.57,7.33,384.86
02 01 2025 19:20,116.44,0.33,0.0
02 01 2025 19:30,10.0,1.9,0.0
02 01 2025 19:40,127.54,5.59,82.17
02 01 2025 19:50,1099.11,9.42,1249.97
02 01 2025 20:00,14.34,5.81,104.68
02 01 2025 20:10,2713.27,12.12,3450.0
02 01 2025 20:20,-5.0,4.7,23.25
02 01 2025 20:40,1873.38,10.44,1951.43
02 01 2025 20:50,679.54,8.63,842.89
02 01 2025 21:00,143.7,6.29,168.17
02 01 2025 21:10,601.44,8.0,593.13
02 01 2025 21:20,2587.19,11.22,2632.44
02 01 2025 21:30,120.55,5.39,64.35
02 01 2025 21:40,1023.93,9.15,1101.76
02 01 2025 21:50,87.12,5.66,89.46
02 01 2025 22:00,1007.85,9.38,1230.29
02 01 2025 22:10,1.76,4.79,27.03
02 01 2025 22:20,731.31,8.75,899.82
02 01 2025 22:30,374.16,7.46,420.2
02 01 2025 22:40,105.99,5.11,44.36
02 01 2025 22:50,3022.94,14.85,3450.0
02 01 2025 23:00,869.34,8.67,861.67
02 01 2025 23:10,2240.75,11.44,2843.25
02 01 2025 23:20,3466.11,17.83,3450.0
02 01 2025 23:30,3327.62,12.5,3450.0
02 01 2025 23:40,3273.97,13.15,3450.0
03 01 2025 00:00,252.6,6.83,264.94
03 01 2025 00:10,-5.0,4.91,32.8
03 01 2025 00:20,212.42,6.98,299.09
03 01 2025 00:30,32.53,4.67,21.94
03 01 2025 00:40,1146.48,9.48,1288.69
03 01 2025 00:50,1479.77,10.11,1697.56
03 01 2025 01:10,153.22,6.62,224.19
03 01 2025 01:30,593.71,8.21,670.82
03 01 2025 01:40,1.48,3.71,1.67
03 01 2025 01:50,329.66,7.43,410.43
03 01 2025 02:00,-5.0,2.45,0.0
03 01 2025 02:10,837.62,9.1,1075.57
03 01 2025 02:20,2.49,3.46,0.45
03 01 2025 02:30,2580.19,11.4,2806.47
03 01 2025 02:40,1106.81,9.35,1213.09
03 01 2025 02:50,-5.0,3.56,0.83
03 01 2025 03:00,101.65,6.26,163.24
03 01 2025 03:10,-5.0,4.44,14.04
03 01 2025 03:20,-5.0,0.42,0.0
03 01 2025 03:30,461.25,13.11,3450.0
03 01 2025 03:40,-5.0,1.42,0.0
03 01 2025 03:50,230.89,5.72,95.45
03 01 2025 04:00,416.05,7.54,443.81
03 01 2025 04:20,152.3,7.24,361.54
03 01 2025 04:30,115.89,5.4,65.05
03 01 2025 04:40,817.77,9.06,1051.71
03 01 2025 04:50,3068.26,12.73,3450.0
03 01 2025 05:00,2.06,4.17,7.59
03 01 2025 05:10,88.49,3.79,2.38
03 01 2025 05:20,10.11,2.01,0.0
03 01 2025 05:30,62.13,3.34,0.19
03 01 2025 05:40,67.74,4.28,9.87
03 01 2025 05:50,-5.0,2.0,0.0
03 01 2025 06:00,865.87,8.62,839.65
03 01 2025 06:10,746.24,8.4,745.55
03 01 2025 06:20,39.17,4.2,8.15
03 01 2025 06:30,625.97,8.08,619.92
03 01 2025 06:40,310.29,6.34,176.09
03 01 2025 06:50,1161.97,9.28,1170.67
03 01 2025 07:00,-5.0,3.41,0.32
03 01 2025 07:10,52.51,11.85,3280.45
03 01 2025 07:20,255.6,7.14,334.81
03 01 2025 07:30,99.96,6.32,172.98
03 01 2025 07:40,505.88,7.8,522.46
03 01 2025 07:50,2496.04,12.23,3450.0
03 01 2025 08:00,193.41,6.85,270.17
03 01 2025 08:10,7.36,4.77,26.22
03 01 2025 08:20,2145.77,10.92,2352.02
03 01 2025 08:30,101.68,6.08,137.65
03 01 2025 08:40,109.87,6.58,216.89
03 01 2025 08:50,2637.4,11.3,2709.09
03 01 2025 09:00,1486.63,9.87,1536.24
03 01 2025 09:20,-5.0,4.93,33.86
03 01 2025 09:30,43.39,5.57,80.57
03 01 2025 09:40,3461.47,12.01,3450.0
03 01 2025 09:50,72.34,3.28,0.1
03 01 2025 10:00,82.28,6.47,198.02
03 01 2025 10:10,814.85,8.6,830.15
03 01 2025 10:20,105.39,6.97,295.99
03 01 2025 10:30,137.42,6.68,236.35
03 01 2025 10:40,3125.82,11.78,3200.09
03 01 2025 11:10,207.28,6.78,256.09
03 01 2025 11:20,1095.47,9.12,1086.71
03 01 2025 11:30,3109.35,11.95,3396.86
03 01 2025 11:40,-5.0,2.54,0.0
03 01 2025 11:50,3218.94,11.88,3309.76
03 01 2025 12:00,53.94,1.06,0.0
03 01 2025 12:10,1414.86,9.89,1551.04
03 01 2025 12:20,351.67,8.8,922.79
03 01 2025 12:40,-5.0,3.25,0.07
03 01 2025 12:50,1149.53,9.02,1032.16
03 01 2025 13:00,1282.84,9.48,1286.53
03 01 2025 13:10,601.11,7.85,541.29
03 01 2025 13:20,2320.21,11.35,2756.9
03 01 2025 13:30,44.53,5.99,126.66
03 01 2025 13:40,-5.0,0.46,0.0
03 01 2025 13:50,43.89,3.34,0.19
03 01 2025 14:10,629.74,8.36,730.41
03 01 2025 14:20,2708.18,14.97,3450.0
03 01 2025 14:30,2953.16,15.43,3450.0
03 01 2025 14:40,2912.59,12.44,3450.0
03 01 2025 14:50,146.3,4.72,24.22
03 01 2025 15:00,98.21,7.38,396.69
03 01 2025 15:10,-5.0,4.89,31.91
03 01 2025 15:20,69.46,5.67,90.02
03 01 2025 15:30,131.24,6.19,153.16
03 01 2025 15:40,2653.71,11.92,3355.44
03 01 2025 15:50,2176.97,11.16,2574.45
03 01 2025 16:00,3138.34,12.96,3450.0
03 01 2025 16:10,-5.0,3.06,0.0
03 01 2025 16:20,165.66,6.19,153.67
03 01 2025 16:30,108.13,5.37,62.69
03 01 2025 16:40,32.12,4.57,18.15
03 01 2025 16:50,123.76,3.34,0.18
03 01 2025 17:00,450.23,8.01,594.21
03 01 2025 17:10,-5.0,3.96,4.19
03 01 2025 17:30,403.22,7.35,390.01
03 01 2025 17:40,-5.0,5.47,71.17
03 01 2025 18:10,128.49,2.58,0.0
03 01 2025 18:20,221.13,6.0,127.79
03 01 2025 18:30,113.05,4.84,29.65
03 01 2025 18:40,2858.39,12.96,3450.0
03 01 2025 19:00,870.1,9.14,1094.02
03 01 2025 19:10,64.16,5.51,74.48
03 01 2025 19:20,325.3,7.26,366.85
03 01 2025 19:30,2979.03,13.93,3450.0
03 01 2025 19:40,531.26,7.71,492.92
03 01 2025 19:50,3209.78,12.58,3450.0
03 01 2025 20:00,60.39,4.35,11.59
03 01 2025 20:10,2184.13,11.27,2674.06
03 01 2025 20:20,1166.07,13.36,3450.0
03 01 2025 20:30,180.45,6.35,177.89
03 01 2025 20:40,104.93,6.62,225.33
03 01 2025 20:50,547.61,8.01,594.37
03 01 2025 21:00,977.61,8.78,913.12
03 01 2025 21:10,302.6,6.87,274.45
03 01 2025 21:20,71.4,3.78,2.23
03 01 2025 21:40,19.43,3.02,0.0
03 01 2025 21:50,2050.34,10.77,2219.25
03 01 2025 22:00,38.16,3.98,4.52
